,experiment,iter,time
0,hpc7g-efa-libfabric-1.18.1,4,86.57676553726196
1,hpc7g-efa-libfabric-1.18.1,8,85.48165011405945
2,hpc7g-efa-libfabric-1.18.1,10,85.31887698173523
3,hpc7g-efa-libfabric-1.18.1,1,85.74415445327759
4,hpc7g-efa-libfabric-1.18.1,3,85.36681866645813
5,hpc7g-efa-libfabric-1.18.1,9,85.43180203437805
6,hpc7g-efa-libfabric-1.18.1,12,85.5604681968689
7,hpc7g-efa-libfabric-1.18.1,11,85.29751706123352
8,hpc7g-efa-libfabric-1.18.1,14,85.48935675621033
9,hpc7g-efa-libfabric-1.18.1,15,85.47315192222595
10,hpc7g-efa-libfabric-1.18.1,17,85.27318692207336
11,hpc7g-efa-libfabric-1.18.1,18,85.7276222705841
12,hpc7g-efa-libfabric-1.18.1,13,85.20435547828674
13,hpc7g-efa-libfabric-1.18.1,7,85.71136283874512
14,hpc7g-efa-libfabric-1.18.1,19,85.39016437530518
15,hpc7g-efa-libfabric-1.18.1,0,85.58172154426575
16,hpc7g-efa-libfabric-1.18.1,6,85.31503415107727
17,hpc7g-efa-libfabric-1.18.1,16,85.438884973526
18,hpc7g-efa-libfabric-1.18.1,5,85.51112914085388
19,hpc7g-efa-libfabric-1.18.1,2,85.07684135437012
20,hpc7g-no-efa,4,85.60310912132263
21,hpc7g-no-efa,8,85.01799368858337
22,hpc7g-no-efa,10,85.42338705062866
23,hpc7g-no-efa,1,85.53699469566345
24,hpc7g-no-efa,3,85.24986743927002
25,hpc7g-no-efa,9,85.36474776268005
26,hpc7g-no-efa,12,85.26009130477905
27,hpc7g-no-efa,11,84.6972382068634
28,hpc7g-no-efa,14,85.5560622215271
29,hpc7g-no-efa,15,85.42901492118835
30,hpc7g-no-efa,17,85.26702547073364
31,hpc7g-no-efa,18,85.3769884109497
32,hpc7g-no-efa,13,85.02385973930359
33,hpc7g-no-efa,7,85.3922324180603
34,hpc7g-no-efa,19,85.15476560592651
35,hpc7g-no-efa,0,85.34045004844666
36,hpc7g-no-efa,6,85.16214871406555
37,hpc7g-no-efa,16,85.31041359901428
38,hpc7g-no-efa,5,85.06635069847107
39,hpc7g-no-efa,2,85.05776810646057
40,hpc7g-efa-libfabric-1.14.x,4,85.42060208320618
41,hpc7g-efa-libfabric-1.14.x,8,85.52672028541565
42,hpc7g-efa-libfabric-1.14.x,10,85.76136445999146
43,hpc7g-efa-libfabric-1.14.x,1,85.43660068511963
44,hpc7g-efa-libfabric-1.14.x,3,85.59646797180176
45,hpc7g-efa-libfabric-1.14.x,9,85.62533688545227
46,hpc7g-efa-libfabric-1.14.x,12,85.14103293418884
47,hpc7g-efa-libfabric-1.14.x,11,85.48128080368042
48,hpc7g-efa-libfabric-1.14.x,14,85.73341631889343
49,hpc7g-efa-libfabric-1.14.x,15,85.74352526664734
50,hpc7g-efa-libfabric-1.14.x,17,85.32578349113464
51,hpc7g-efa-libfabric-1.14.x,18,85.46151518821716
52,hpc7g-efa-libfabric-1.14.x,13,85.90299701690674
53,hpc7g-efa-libfabric-1.14.x,7,85.60655403137207
54,hpc7g-efa-libfabric-1.14.x,19,85.07260918617249
55,hpc7g-efa-libfabric-1.14.x,0,85.71217966079712
56,hpc7g-efa-libfabric-1.14.x,6,85.99314212799072
57,hpc7g-efa-libfabric-1.14.x,16,85.7739589214325
58,hpc7g-efa-libfabric-1.14.x,5,85.30342650413513
59,hpc7g-efa-libfabric-1.14.x,2,85.5707790851593
