event,experiment,size,time_seconds,iteration
ContainersReady,indexed-job,4,2.5476190476190474,1.443001441798942e+125
ContainersReady,indexed-job,8,3.7797619047619047,7.215007215007215e+252
ContainersReady,indexed-job,16,5.595238095238095,inf
ContainersReady,indexed-job,32,9.694940476190476,inf
ContainersReady,indexed-job,64,17.996279761904763,inf
ContainersReady,pods,4,2.6547619047619047,1.2025012830613276e+125
ContainersReady,pods,8,3.5714285714285716,6.012506012506016e+252
ContainersReady,pods,16,5.544642857142857,inf
ContainersReady,pods,32,9.404761904761905,inf
ContainersReady,pods,64,18.332589285714285,inf
Initialized,indexed-job,4,0.0,1.443001441798942e+125
Initialized,indexed-job,8,0.017857142857142856,7.215007215007215e+252
Initialized,indexed-job,16,0.008928571428571428,inf
Initialized,indexed-job,32,0.049107142857142856,inf
Initialized,indexed-job,64,0.014136904761904762,inf
Initialized,pods,4,0.0,1.2025012830613276e+125
Initialized,pods,8,0.041666666666666664,6.012506012506016e+252
Initialized,pods,16,0.01488095238095238,inf
Initialized,pods,32,0.023809523809523808,inf
Initialized,pods,64,0.018601190476190476,inf
PodScheduled,indexed-job,4,0.0,1.443001441798942e+125
PodScheduled,indexed-job,8,0.005952380952380952,7.215007215007215e+252
PodScheduled,indexed-job,16,0.005952380952380952,inf
PodScheduled,indexed-job,32,0.03571428571428571,inf
PodScheduled,indexed-job,64,0.008928571428571428,inf
PodScheduled,pods,4,0.0,1.2025012830613276e+125
PodScheduled,pods,8,0.02976190476190476,6.012506012506016e+252
PodScheduled,pods,16,0.005952380952380952,inf
PodScheduled,pods,32,0.013392857142857142,inf
PodScheduled,pods,64,0.011160714285714286,inf
Ready,indexed-job,4,2.5476190476190474,1.443001441798942e+125
Ready,indexed-job,8,3.7797619047619047,7.215007215007215e+252
Ready,indexed-job,16,5.595238095238095,inf
Ready,indexed-job,32,9.694940476190476,inf
Ready,indexed-job,64,17.996279761904763,inf
Ready,pods,4,2.6547619047619047,1.2025012830613276e+125
Ready,pods,8,3.5714285714285716,6.012506012506016e+252
Ready,pods,16,5.544642857142857,inf
Ready,pods,32,9.404761904761905,inf
Ready,pods,64,18.332589285714285,inf
watch_create,indexed-job,4,3.708571428571428,5.7672862865792965e+29
watch_create,indexed-job,8,5.777904761904763,5.7672862865792965e+29
watch_create,indexed-job,16,9.64195238095238,5.7672862865792965e+29
watch_create,indexed-job,32,17.63638095238095,5.7672862865792965e+29
watch_create,indexed-job,64,34.8467619047619,5.7672862865792965e+29
watch_create,pods,4,3.7026190476190473,5.1025342354842926e+29
watch_create,pods,8,5.775666666666667,5.1025342354842926e+29
watch_create,pods,16,10.082095238095238,5.1025342354842926e+29
watch_create,pods,32,18.18538095238095,5.1025342354842926e+29
watch_create,pods,64,35.945190476190476,5.1025342354842926e+29
watch_delete,indexed-job,4,33.875428571428564,5.7672862865792965e+29
watch_delete,indexed-job,8,33.862285714285726,5.7672862865792965e+29
watch_delete,indexed-job,16,33.83585714285715,5.7672862865792965e+29
watch_delete,indexed-job,32,33.726952380952376,5.7672862865792965e+29
watch_delete,indexed-job,64,35.1927619047619,5.7672862865792965e+29
watch_delete,pods,4,33.71380952380952,5.1025342354842926e+29
watch_delete,pods,8,33.71009523809524,5.1025342354842926e+29
watch_delete,pods,16,33.789619047619055,5.1025342354842926e+29
watch_delete,pods,32,33.78938095238095,5.1025342354842926e+29
watch_delete,pods,64,35.07257142857142,5.1025342354842926e+29
