,experiment,iter,time,problem_size
0,size_8,8,224.87595295906067,large
1,size_8,8,225.16500639915466,large
2,size_8,8,223.5181028842926,large
3,size_4_small,4,15.04337739944458,small
4,size_4_small,4,14.819865942001343,small
5,size_4_small,4,14.855845928192139,small
6,size_4_small,4,14.53858470916748,small
7,size_4_small,4,14.514566898345947,small
8,size_4_small,4,14.655440330505371,small
9,size_4_small,4,14.67982029914856,small
10,size_4_small,4,14.554394483566284,small
11,size_4_small,4,14.627233982086182,small
12,size_4_small,4,15.403656005859375,small
13,size_4_small,4,14.938665866851807,small
14,size_4_small,4,14.657314777374268,small
15,size_4_small,4,14.444356203079224,small
16,size_4_small,4,14.761011600494385,small
17,size_4_small,4,14.699838876724243,small
18,size_4_small,4,14.739696025848389,small
19,size_4_small,4,14.868016481399536,small
20,size_4_small,4,14.3610999584198,small
21,size_4_small,4,14.334845066070557,small
22,size_4_small,4,14.536837100982666,small
23,size_2_small,2,10.034966230392456,small
24,size_2_small,2,10.052164554595947,small
25,size_2_small,2,9.925215721130371,small
26,size_2_small,2,9.716501951217651,small
27,size_2_small,2,9.750189781188965,small
28,size_2_small,2,9.898629188537598,small
29,size_2_small,2,10.02007508277893,small
30,size_2_small,2,10.006636142730713,small
31,size_2_small,2,9.947128295898438,small
32,size_2_small,2,10.011478900909424,small
33,size_2_small,2,9.89133334159851,small
34,size_2_small,2,10.033454418182373,small
35,size_2_small,2,9.849369525909424,small
36,size_2_small,2,10.04093313217163,small
37,size_2_small,2,10.050415277481079,small
38,size_2_small,2,9.714146852493286,small
39,size_2_small,2,9.988456964492798,small
40,size_2_small,2,9.956690073013306,small
41,size_2_small,2,9.986939191818237,small
42,size_2_small,2,9.851389169692993,small
43,size_32,32,194.2736394405365,large
44,size_32,32,192.9666509628296,large
45,size_32,32,192.42010641098022,large
46,size_16,16,209.15121269226074,large
47,size_16,16,208.4569709300995,large
48,size_16,16,209.66434025764465,large
49,size_4,4,340.09289360046387,large
50,size_4,4,336.82990622520447,large
51,size_4,4,344.99306178092957,large
52,size_64,64,249.3717019557953,large
53,size_64,64,252.29601287841797,large
54,size_64,64,250.39365315437317,large
